Date,USD,CAD,MXN,BRL,ARS,CLP,COP,RUB,EUR,GBP,HUF,CHF,NOK,DKK,SEK,CNY,INR,PHP,TRY,TWD,THB,SGD,AUD,NZD,IDR,KRW,JPY,ZAR
11/23/2015,113.8188,79.20409,97.99659,65.75211,88.81734,83.65231,71.96803,97.7606,88.92271,119.20979,98.52071,104.46719,85.58521,95.51475,91.86485,139.97295,85.87257,110.36207,82.82169,92.59509,97.37396,105.71217,85.68044,96.42272,89.44731,111.16376,68.87215,67.82074
11/20/2015,113.5093,79.29833,98.0178,65.51711,88.65333,84.02958,72.77658,98.38053,89.03305,119.44463,98.75018,104.42799,85.59745,95.57679,91.94245,139.7334,86.03031,110.2776,82.83877,92.54977,97.46971,105.97836,85.9673,96.91341,89.56525,111.32471,68.79953,68.3531
11/19/2015,113.42676,79.65549,97.68217,65.28235,88.74519,83.78144,71.89692,98.38039,89.4755,119.6238,99.02517,104.38467,85.44749,95.82803,91.78832,139.84401,86.01568,110.36504,82.24279,92.36422,97.16029,106.03976,85.57059,97.23727,88.95922,110.61852,68.84548,67.80984
11/18/2015,114.11234,79.38304,96.74181,64.6143,89.46574,83.7338,71.70556,98.36452,89.198,119.74544,98.86398,104.47595,85.06728,95.70699,91.70053,140.67871,86.26957,110.84142,81.93531,92.24823,97.30493,105.83397,84.50614,95.74039,89.27276,110.06996,68.70818,67.13618
11/17/2015,114.02226,79.49267,96.61158,64.12849,89.6529,84.35171,72.50534,98.03824,89.20193,119.73362,98.58003,104.85806,85.29481,95.71075,91.51379,140.74338,86.54539,110.74544,81.74558,92.20479,97.32093,105.76888,84.88309,95.92432,89.52846,110.1649,68.71493,66.87031
11/16/2015,114.02153,79.18673,96.46053,63.57907,89.78506,83.94015,72.19785,95.72167,89.80378,119.24827,98.72269,105.3805,84.7886,96.01015,91.89205,140.92055,86.56389,110.6948,81.41973,92.08652,97.18481,105.737,84.36562,96.30402,89.63304,109.79075,68.94658,66.29386
11/13/2015,113.8278,79.28452,96.78404,63.72358,89.66364,84.80625,71.98029,95.1479,89.89514,119.06421,98.90017,105.21357,84.54067,96.10503,91.65891,140.71561,86.28163,110.6662,81.61362,92.27039,97.12555,105.50352,84.59129,96.72233,89.94585,110.6543,69.01391,66.09361
11/12/2015,113.64079,79.44078,96.5878,64.07336,89.41519,84.93876,73.60105,96.229,89.85378,118.82233,98.70889,105.52938,84.71899,96.03621,92.20378,140.59294,85.77039,110.69669,81.34216,92.20142,97.13143,105.65285,84.41898,96.56718,90.25879,111.05975,68.83168,66.52861
11/11/2015,113.51411,79.68216,96.70119,64.52171,89.23373,85.12778,75.29774,97.95493,89.53059,118.93216,98.57658,105.53027,85.36688,95.90091,91.57938,140.59729,85.74865,110.75082,80.5456,92.16212,97.19277,105.54668,83.76106,97.24318,90.24419,111.34039,68.81555,66.98654
11/10/2015,113.68561,79.80024,96.43844,63.97185,89.61293,85.16022,75.4476,98.76794,89.45012,118.5264,98.31142,105.50393,85.16507,95.87952,91.64297,140.99384,85.88875,110.16064,,92.24973,97.2786,105.6814,83.52039,96.96425,90.31846,111.28201,68.68185,66.67481
11/9/2015,113.72552,79.71753,95.72004,63.95272,89.5855,84.89064,75.82316,98.46479,89.84306,118.20709,98.13231,105.57278,84.85397,96.1075,91.71372,140.92474,85.88228,110.34122,79.63638,92.35995,97.07329,105.51258,83.76347,97.01753,90.04128,111.19491,68.64642,66.41769
11/6/2015,113.60758,79.54296,95.74021,63.11307,90.55943,85.09068,76.43658,98.01576,89.84015,117.95282,97.6402,105.40535,84.85452,96.15845,91.28835,140.94023,86.5787,110.58239,79.26819,92.59924,97.84282,105.55692,83.37968,96.55185,90.35984,112.56954,68.561,66.88082
